agent_id,item_id,bid
1,2,0.275
1,9,0.2186
1,11,0.1988
1,17,0.8058
1,38,0.2279
1,63,0.3155
1,84,0.1096
1,94,0.7207
2,17,0.3242
2,18,0.9291
3,60,0.8171
3,80,0.7711
3,86,0.0752
4,12,0.7366
4,29,0.1931
4,54,0.9256
4,79,0.2869
4,99,0.2448
5,10,0.751
5,63,0.3518
5,74,0.3361
5,81,0.394
5,83,0.6427
5,96,0.5394
6,5,0.1524
6,19,0.312
6,64,0.851
6,72,0.9481
7,10,0.5341
7,56,0.4505
7,87,0.432
7,98,0.7563
8,86,0.7447
8,94,0.5023
9,18,0.0684
9,30,0.7961
9,47,0.8046
9,72,0.6064
10,19,0.5366
10,28,0.8842
10,56,0.3705
10,73,0.7868
10,85,0.8584
10,91,0.0149
11,6,0.7832
11,81,0.9291
11,88,0.8699
11,93,0.7461
12,18,0.3953
12,20,0.3014
12,25,0.747
12,34,0.0187
12,42,0.3248
13,70,0.3368
14,20,0.0533
14,25,0.9308
14,36,0.0792
14,45,0.4198
14,51,0.5154
14,71,0.7885
14,78,0.546
14,90,0.1995
14,91,0.9334
15,27,0.87
15,42,0.0672
15,92,0.554
16,43,0.0455
16,91,0.9452
17,28,0.137
17,53,0.4746
17,66,0.9482
17,68,0.3137
18,36,0.5504
18,64,0.568
19,1,0.6537
19,58,0.3445
19,64,0.4089
19,85,0.0227
20,1,0.2061
20,3,0.5978
20,5,0.7405
20,70,0.9372
21,22,0.8467
21,30,0.5057
21,37,0.5516
21,38,0.5294
21,41,0.8132
21,67,0.1714
21,75,0.2114
21,79,0.0743
21,83,0.9288
22,11,0.2733
22,30,0.3083
22,38,0.3539
23,30,0.9836
23,36,0.2587
23,47,0.1045
23,79,0.6141
24,29,0.1365
24,39,0.7611
24,54,0.719
25,16,0.7741
25,35,0.0996
25,41,0.958
25,60,0.4768
25,64,0.6956
25,82,0.65
26,31,0.0675
26,33,0.0605
26,79,0.8071
26,96,0.8629
27,25,0.2007
27,37,0.41
27,43,0.6573
27,94,0.8359
28,3,0.4044
28,10,0.8304
28,20,0.0645
28,27,0.461
28,32,0.6832
28,38,0.6192
28,89,0.7006
29,3,0.9179
29,10,0.5866
29,44,0.6024
29,66,0.3859
29,94,0.9424
30,7,0.5718
30,16,0.1708
31,1,0.2754
31,5,0.8896
31,11,0.8174
31,39,0.1928
31,51,0.3725
31,71,0.7803
31,73,0.9115
31,76,0.2524
32,20,0.7081
32,76,0.2735
32,88,0.1994
32,90,0.3222
33,25,0.8765
33,28,0.9947
33,31,0.6897
33,58,0.4964
33,62,0.6716
33,78,0.2906
33,84,0.852
34,14,0.6845
34,21,0.2616
34,68,0.0909
34,94,0.1642
35,18,0.9353
35,72,0.1453
35,83,0.814
36,1,0.2513
36,57,0.6689
36,75,0.8983
36,82,0.0655
37,8,0.6733
37,42,0.5967
37,84,0.2462
38,6,0.5072
38,7,0.5819
38,43,0.2068
38,48,0.9806
38,88,0.0431
38,92,0.5723
38,99,0.7195
39,29,0.7839
39,41,0.5298
39,63,0.6545
39,100,0.0911
40,7,0.3843
40,21,0.5995
40,25,0.2393
40,26,0.1574
40,66,0.1163
40,75,0.8322
41,5,0.4823
41,29,0.2108
41,80,0.1212
42,18,0.7278
42,28,0.397
42,41,0.6635
42,66,0.8154
42,70,0.9221
42,73,0.4304
42,76,0.3736
43,3,0.0496
43,36,0.4608
43,45,0.9374
43,60,0.042
44,5,0.638
44,8,0.8568
44,53,0.0704
45,6,0.8219
45,13,0.3557
45,45,0.7774
45,48,0.5399
45,64,0.3992
45,87,0.3048
45,93,0.8182
46,4,0.6938
46,7,0.209
46,16,0.583
46,18,0.1703
46,24,0.3886
46,29,0.8674
